descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
Lasix 40mg 20 Comprimidos,7891058431037,Furosemida,Diuréticos de Alça Puros,Lasix,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058431037"",""dose"":""40mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1832603560010"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Furosemida""],""legado"":{""produto_id"":92,""apresentacao_id"":106,""nome_normalizado"":""lasix"",""tipo"":""medicamento""}}"
Lasix 10mg/ml Solução Injetável 2 ml - 5 Ampolas de Vidro Âmbar,7891058433086,Furosemida,Diuréticos de Alça Puros,Lasix,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058433086"",""dose"":""10mg/ml Solução Injetável 2 ml - 5 Ampolas de Vidro Âmbar"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO INJETÁVEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1832603560029"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Furosemida""],""legado"":{""produto_id"":92,""apresentacao_id"":107,""nome_normalizado"":""lasix"",""tipo"":""medicamento""}}"
Apracur 1MG + 100mg + 50mg 150 Comprimidos Revestidos,7891104193087,"Dipirona, Maleato de Clorfeniramina, Ácido Ascórbico",Antigripais SEM Antiinfecciosos,Apracur,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891104193087"",""dose"":""1MG + 100mg + 50mg 150 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""150"",""volume"":null,""registro_ms"":""1781707740025"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona"",""Maleato de Clorfeniramina"",""Ácido Ascórbico""],""legado"":{""produto_id"":234,""apresentacao_id"":288,""nome_normalizado"":""apracur"",""tipo"":""medicamento""}}"
Humectol D 5MG + 60mg 20 Comprimidos Revestidos,7891104193353,"Bisacodil, Docusato de Sódio",Laxantes Estimulantes,Humectol D,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891104193353"",""dose"":""5MG + 60mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1781701030018"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bisacodil"",""Docusato de Sódio""],""legado"":{""produto_id"":87,""apresentacao_id"":101,""nome_normalizado"":""humectol d"",""tipo"":""medicamento""}}"
Aspirina C Efervescente 400mg + 240mg 100 Comprimidos Efervescentes  - 50 Envelopes de Alumínio,7891106000888,"Acido Acetilsalicilico, Ácido Ascórbico",Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Aspirina C Efervescente,Bayer S.a.,"{""ean"":""7891106000888"",""dose"":""400mg + 240mg 100 Comprimidos Efervescentes  - 50 Envelopes de Alumínio"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS EFERVESCENTES"",""via_administracao"":""Oral"",""quantidade"":""100"",""volume"":null,""registro_ms"":""1705601050021"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acido Acetilsalicilico"",""Ácido Ascórbico""],""legado"":{""produto_id"":353,""apresentacao_id"":430,""nome_normalizado"":""aspirina c efervescente"",""tipo"":""medicamento""}}"
"Baycuten N 10mg/g + 0,443mg/g Creme 40 G",7891106000956,Clotrimazol,Corticoesteróides Associados A Antimicoticos,Baycuten N,Bayer S.a.,"{""ean"":""7891106000956"",""dose"":""10mg/g + 0,443mg/g Creme 40 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1705600230032"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Clotrimazol""],""legado"":{""produto_id"":34,""apresentacao_id"":39,""nome_normalizado"":""baycuten n"",""tipo"":""medicamento""}}"
Gino-canesten 10mg/g Creme 35 G + Aplicador,7891106001762,Clotrimazol,Antifúngicos Ginecológicos,Gino-canesten,Bayer S.a.,"{""ean"":""7891106001762"",""dose"":""10mg/g Creme 35 G + Aplicador"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Vaginal"",""quantidade"":null,""volume"":null,""registro_ms"":""1705601020112"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Clotrimazol""],""legado"":{""produto_id"":399,""apresentacao_id"":495,""nome_normalizado"":""gino canesten"",""tipo"":""medicamento""}}"
Aspirina Prevent 100mg 30 Comprimidos Revestidos,7891106001946,Acido Acetilsalicilico,"Inibidores da Agregação Plaquetária, Ciclo-oxigenase Inibidores",Aspirina Prevent,Bayer S.a.,"{""ean"":""7891106001946"",""dose"":""100mg 30 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1705600220037"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acido Acetilsalicilico""],""legado"":{""produto_id"":616,""apresentacao_id"":771,""nome_normalizado"":""aspirina prevent"",""tipo"":""medicamento""}}"
Aspirina 500mg 100 Comprimidos,7891106004213,Acido Acetilsalicilico,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Aspirina,Bayer S.a.,"{""ean"":""7891106004213"",""dose"":""500mg 100 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""100"",""volume"":null,""registro_ms"":""1705600200044"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acido Acetilsalicilico""],""legado"":{""produto_id"":233,""apresentacao_id"":287,""nome_normalizado"":""aspirina"",""tipo"":""medicamento""}}"
Redoxon 200mg/ml Solução 20 ml + Conta-gotas,7891106006286,Ácido Ascórbico,Vitamina C Pura,Redoxon,Bayer S.a.,"{""ean"":""7891106006286"",""dose"":""200mg/ml Solução 20 ml + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1705600160077"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Ascórbico""],""legado"":{""produto_id"":139,""apresentacao_id"":169,""nome_normalizado"":""redoxon"",""tipo"":""medicamento""}}"
Flanax 275mg 20 Comprimidos Revestidos,7891106006491,Naproxeno Sódico,Antirreumáticos NÃO Esteroidais Puros,Flanax,Bayer S.a.,"{""ean"":""7891106006491"",""dose"":""275mg 20 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1705600470025"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Naproxeno Sódico""],""legado"":{""produto_id"":72,""apresentacao_id"":579,""nome_normalizado"":""flanax"",""tipo"":""medicamento""}}"
Flanax 550mg 10 Comprimidos Revestidos,7891106006507,Naproxeno Sódico,Antirreumáticos NÃO Esteroidais Puros,Flanax,Bayer S.a.,"{""ean"":""7891106006507"",""dose"":""550mg 10 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1705600470084"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Naproxeno Sódico""],""legado"":{""produto_id"":72,""apresentacao_id"":84,""nome_normalizado"":""flanax"",""tipo"":""medicamento""}}"
Canesten 10mg/g Creme 20 G,7891106900591,Clotrimazol,Antifúngicos Dermatológicos Tópicos,Canesten,Bayer S.a.,"{""ean"":""7891106900591"",""dose"":""10mg/g Creme 20 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1705601020015"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Clotrimazol""],""legado"":{""produto_id"":480,""apresentacao_id"":602,""nome_normalizado"":""canesten"",""tipo"":""medicamento""}}"
Cafiaspirina 650mg + 65mg 100 Comprimidos,7891106900775,"Acido Acetilsalicilico, Cafeína",Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Cafiaspirina,Bayer S.a.,"{""ean"":""7891106900775"",""dose"":""650mg + 65mg 100 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""100"",""volume"":null,""registro_ms"":""1705600150020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acido Acetilsalicilico"",""Cafeína""],""legado"":{""produto_id"":296,""apresentacao_id"":361,""nome_normalizado"":""cafiaspirina"",""tipo"":""medicamento""}}"
Allurene 2MG 28 Comprimidos,7891106906890,Dienogeste,"Progestógenos Excluindo G3a, G3F",Allurene,Bayer S.a.,"{""ean"":""7891106906890"",""dose"":""2MG 28 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""28"",""volume"":null,""registro_ms"":""1705600880045"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dienogeste""],""legado"":{""produto_id"":1090,""apresentacao_id"":1382,""nome_normalizado"":""allurene"",""tipo"":""medicamento""}}"
Gyno-icaden 10mg/g Creme 40 G + Aplicador,7891106910163,Nitrato de Isoconazol,Antifúngicos Ginecológicos,Gyno-icaden,Bayer S.a.,"{""ean"":""7891106910163"",""dose"":""10mg/g Creme 40 G + Aplicador"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Vaginal"",""quantidade"":null,""volume"":null,""registro_ms"":""1705600990010"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nitrato de Isoconazol""],""legado"":{""produto_id"":285,""apresentacao_id"":350,""nome_normalizado"":""gyno icaden"",""tipo"":""medicamento""}}"
Alivium 600mg 10 Cápsulas Moles,7891142115126,Ibuprofeno,Analgésicos NÃO Narcóticos E Antipiréticos SOB Prescrição,Alivium,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142115126"",""dose"":""600mg 10 Cápsulas Moles"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS MOLES"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1781707800028"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ibuprofeno""],""legado"":{""produto_id"":1081,""apresentacao_id"":1361,""nome_normalizado"":""alivium"",""tipo"":""medicamento""}}"
Alivium 50mg/ml Suspensão 30 ml,7891142115478,Ibuprofeno,Analgésicos NÃO Narcóticos E Antipiréticos SOB Prescrição,Alivium,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142115478"",""dose"":""50mg/ml Suspensão 30 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1781708070058"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ibuprofeno""],""legado"":{""produto_id"":1081,""apresentacao_id"":1360,""nome_normalizado"":""alivium"",""tipo"":""medicamento""}}"
Alivium 100mg/ml Suspensão 20 ml,7891142115492,Ibuprofeno,Analgésicos NÃO Narcóticos E Antipiréticos SOB Prescrição,Alivium,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142115492"",""dose"":""100mg/ml Suspensão 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1781708070228"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ibuprofeno""],""legado"":{""produto_id"":1081,""apresentacao_id"":1357,""nome_normalizado"":""alivium"",""tipo"":""medicamento""}}"
Celestone 2MG 10 Comprimidos,7891142128096,"Betametasona, Fosfato Dissódico de Betametasona",Corticosteróides Injetáveis Puros,Celestone,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142128096"",""dose"":""2MG 10 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1781707850017"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Betametasona"",""Fosfato Dissódico de Betametasona""],""legado"":{""produto_id"":41,""apresentacao_id"":226,""nome_normalizado"":""celestone"",""tipo"":""medicamento""}}"
"Celestone 0,5mg 20 Comprimidos",7891142128133,"Betametasona, Fosfato Dissódico de Betametasona",Corticosteróides Injetáveis Puros,Celestone,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142128133"",""dose"":""0,5mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1781707850084"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Betametasona"",""Fosfato Dissódico de Betametasona""],""legado"":{""produto_id"":41,""apresentacao_id"":49,""nome_normalizado"":""celestone"",""tipo"":""medicamento""}}"
"Celestone 0,1mg/ml Elixir 120 ml",7891142128249,"Betametasona, Fosfato Dissódico de Betametasona",Corticosteróides Injetáveis Puros,Celestone,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142128249"",""dose"":""0,1mg/ml Elixir 120 ml"",""unidade"":""mg"",""forma_farmaceutica"":""ELIXIR"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1781707850122"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Betametasona"",""Fosfato Dissódico de Betametasona""],""legado"":{""produto_id"":41,""apresentacao_id"":47,""nome_normalizado"":""celestone"",""tipo"":""medicamento""}}"
Celestone 4mg/ml Solução Injetável,7891142128546,"Betametasona, Fosfato Dissódico de Betametasona",Corticosteróides Injetáveis Puros,Celestone,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142128546"",""dose"":""4mg/ml Solução Injetável"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO INJETÁVEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1781707850068"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Betametasona"",""Fosfato Dissódico de Betametasona""],""legado"":{""produto_id"":41,""apresentacao_id"":444,""nome_normalizado"":""celestone"",""tipo"":""medicamento""}}"
"Celestone Soluspan 3,0mg/ml + 3,945mg/ml Suspensão Injetável",7891142128638,"Acetato de Betametasona, Fosfato Dissódico de Betametasona",Corticosteróides Injetáveis Puros,Celestone Soluspan,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142128638"",""dose"":""3,0mg/ml + 3,945mg/ml Suspensão Injetável"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO INJETÁVEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1781707750020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Betametasona"",""Fosfato Dissódico de Betametasona""],""legado"":{""produto_id"":42,""apresentacao_id"":48,""nome_normalizado"":""celestone soluspan"",""tipo"":""medicamento""}}"
"Diprosone 0,64mg/g Creme 30 G",7891142141279,Dipropionato de Betametasona,Corticoesteróides Tópicos Puros,Diprosone,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142141279"",""dose"":""0,64mg/g Creme 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1781707990072"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipropionato de Betametasona""],""legado"":{""produto_id"":277,""apresentacao_id"":494,""nome_normalizado"":""diprosone"",""tipo"":""medicamento""}}"
"Diprosone 0,64mg/g Pomada 30 G",7891142141293,Dipropionato de Betametasona,Corticoesteróides Tópicos Puros,Diprosone,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142141293"",""dose"":""0,64mg/g Pomada 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1781707990056"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipropionato de Betametasona""],""legado"":{""produto_id"":277,""apresentacao_id"":342,""nome_normalizado"":""diprosone"",""tipo"":""medicamento""}}"
"Diprosalic 0,64mg/g + 30mg/g Pomada",7891142142214,"Dipropionato de Betametasona, Ácido Salicílico",Corticoesteróides Associados A Antibacterianos,Diprosalic,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142142214"",""dose"":""0,64mg/g + 30mg/g Pomada"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1781707930037"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipropionato de Betametasona"",""Ácido Salicílico""],""legado"":{""produto_id"":304,""apresentacao_id"":370,""nome_normalizado"":""diprosalic"",""tipo"":""medicamento""}}"
"Diprosalic 0,64mg/ml + 20mg/ml Solução",7891142142221,"Dipropionato de Betametasona, Ácido Salicílico",Corticoesteróides Associados A Antibacterianos,Diprosalic,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142142221"",""dose"":""0,64mg/ml + 20mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1781707930053"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipropionato de Betametasona"",""Ácido Salicílico""],""legado"":{""produto_id"":304,""apresentacao_id"":371,""nome_normalizado"":""diprosalic"",""tipo"":""medicamento""}}"
"Diprospan 5,0mg/ml + 2,0mg/ml Suspensão Injetável + Seringa",7891142142252,"Dipropionato de Betametasona, Fosfato Dissódico de Betametasona",Corticosteróides Injetáveis Puros,Diprospan,Cosmed Industria de Cosmeticos E Medicamentos S.a.,"{""ean"":""7891142142252"",""dose"":""5,0mg/ml + 2,0mg/ml Suspensão Injetável + Seringa"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO INJETÁVEL"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1781708010012"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipropionato de Betametasona"",""Fosfato Dissódico de Betametasona""],""legado"":{""produto_id"":54,""apresentacao_id"":65,""nome_normalizado"":""diprospan"",""tipo"":""medicamento""}}"
